Date,Open,High,Close,Low,Volume
1486214752,0.00000105,0.00000105,0.00000100,0.00000100,0.00256479
1486360069,0.00000100,0.00000200,0.00000100,0.00000200,0.00965537
1486505201,0.00000200,0.00000200,0.00000200,0.00000200,0.00000000
1486650265,0.00000200,0.00000200,0.00000200,0.00000200,0.00000000
1486795389,0.00000200,0.00000200,0.00000200,0.00000200,0.00000000
1486940583,0.00000200,0.00000200,0.00000200,0.00000200,0.00000000
1487085701,0.00000200,0.00000200,0.00000200,0.00000200,0.00000000
1487230827,0.00000200,0.00000300,0.00000400,0.00000400,0.00490000
1487376127,0.00000400,0.00000400,0.00000400,0.00000400,0.00000000
1487521050,0.00000400,0.00000400,0.00000400,0.00000400,0.00000000
1487666299,0.00000400,0.00000400,0.00000400,0.00000400,0.00000000
1487811571,0.00000400,0.00000400,0.00000400,0.00000400,0.00000000
1487956743,0.00000400,0.00000200,0.00000200,0.00000200,0.00040000
1488101876,0.00000200,0.00000100,0.00000100,0.00000100,0.00039920
1488246958,0.00000100,0.00000100,0.00000100,0.00000100,0.00000000
1488392026,0.00000100,0.00000100,0.00000100,0.00000100,0.00000000
1488537352,0.00000100,0.00000025,0.00000025,0.00000025,0.00016485
1488682497,0.00000025,0.00000025,0.00000025,0.00000025,0.00000000
1488827591,0.00000025,0.00000025,0.00000025,0.00000025,0.00000000
1488972743,0.00000025,0.00000025,0.00000025,0.00000025,0.00000000
1489117843,0.00000025,0.00000025,0.00000025,0.00000025,0.00000000
1489263009,0.00000025,0.00000025,0.00000025,0.00000025,0.00000000
1489408177,0.00000025,0.00000200,0.00000200,0.00000200,0.11010000
1489553324,0.00000200,0.00000043,0.00000023,0.00000043,0.01143616
1489698461,0.00000043,0.00000190,0.00000190,0.00000190,0.00019000
1489843529,0.00000190,0.00000190,0.00000190,0.00000190,0.00000000
1489988876,0.00000190,0.00000026,0.00000026,0.00000026,0.00011482
1490134018,0.00000026,0.00000026,0.00000026,0.00000026,0.00000000
1490279068,0.00000026,0.00000026,0.00000026,0.00000026,0.00000000
1490424115,0.00000026,0.00000026,0.00000026,0.00000026,0.00000000
1490569140,0.00000026,0.00000031,0.00000031,0.00000031,0.00046500
1490714518,0.00000031,0.00000031,0.00000031,0.00000031,0.00000000
1490859723,0.00000031,0.00000031,0.00000031,0.00000031,0.00000000
1491004870,0.00000031,0.00000040,0.00000039,0.00000039,0.00920163
1491150091,0.00000039,0.00000045,0.00000032,0.00000032,0.02113994
1491295226,0.00000032,0.00000032,0.00000032,0.00000032,0.00000000
1491440263,0.00000032,0.00000043,0.00000032,0.00000032,0.12590596
1491585264,0.00000032,0.00000032,0.00000032,0.00000032,0.00000000
1491730693,0.00000032,0.00000032,0.00000032,0.00000032,0.00000000
1491875844,0.00000032,0.00000032,0.00000032,0.00000032,0.00000000
1492020917,0.00000032,0.00000098,0.00000098,0.00000098,0.00014700
1492166146,0.00000098,0.00000170,0.00000055,0.00000169,0.05236731
1492311020,0.00000169,0.00000169,0.00000169,0.00000169,0.00000000
1492456455,0.00000169,0.00000057,0.00000031,0.00000031,0.09335010
1492601084,0.00000031,0.00000091,0.00000038,0.00000038,0.07535555
1492746711,0.00000038,0.00000038,0.00000038,0.00000038,0.00000000
1492891915,0.00000038,0.00000050,0.00000028,0.00000028,0.11343003
1493036652,0.00000028,0.00000028,0.00000025,0.00000028,0.00060146
1493182222,0.00000028,0.00000060,0.00000017,0.00000060,0.13472956
1493327307,0.00000060,0.00000079,0.00000036,0.00000036,0.01327236
1493472457,0.00000036,0.00000036,0.00000036,0.00000036,0.00118550
1493617670,0.00000036,0.00000040,0.00000031,0.00000040,0.00555326
1493762817,0.00000040,0.00000025,0.00000025,0.00000025,0.00108564
1493907821,0.00000025,0.00000025,0.00000025,0.00000025,0.00000000
1494053121,0.00000025,0.00000025,0.00000015,0.00000015,0.09441002
1494198281,0.00000015,0.00000067,0.00000015,0.00000022,0.04293573
1494343408,0.00000022,0.00000051,0.00000030,0.00000037,0.01826408
1494488512,0.00000037,0.00000053,0.00000023,0.00000023,0.01446677
1494633644,0.00000023,0.00000023,0.00000023,0.00000023,0.00000000
1494778849,0.00000023,0.00000023,0.00000023,0.00000023,0.00000000
1494924044,0.00000023,0.00000023,0.00000023,0.00000023,0.00000000
1495069169,0.00000023,0.00000051,0.00000048,0.00000051,0.01028960
1495214042,0.00000051,0.00000075,0.00000051,0.00000075,0.03020394
1495359479,0.00000075,0.00000320,0.00000033,0.00000105,0.10672037
1495504631,0.00000105,0.00000190,0.00000190,0.00000190,0.01562038
1495649629,0.00000190,0.00000190,0.00000190,0.00000190,0.00870000
1495794917,0.00000190,0.00000325,0.00000185,0.00000325,0.19582810
1495940105,0.00000325,0.00000325,0.00000101,0.00000325,0.00099262
1496085247,0.00000325,0.00000325,0.00000325,0.00000325,0.00000000
1496230321,0.00000325,0.00000270,0.00000150,0.00000270,0.00534585
1496375564,0.00000270,0.00000370,0.00000203,0.00000370,0.09079665
1496520668,0.00000370,0.00000250,0.00000162,0.00000250,0.05349001
1496665838,0.00000250,0.00000590,0.00000250,0.00000303,0.45023631
1496810940,0.00000303,0.00000330,0.00000304,0.00000330,0.01690141
1496956137,0.00000330,0.00000600,0.00000330,0.00000335,0.06658296
1497101119,0.00000335,0.00000560,0.00000338,0.00000338,0.04174335
1497246447,0.00000338,0.00000351,0.00000351,0.00000351,0.04331340
1497391589,0.00000351,0.00000351,0.00000126,0.00000126,1.94555858
1497536694,0.00000126,0.00000136,0.00000136,0.00000136,0.00049638
1497681915,0.00000136,0.00000136,0.00000136,0.00000136,0.00000000
1497827034,0.00000136,0.00000136,0.00000136,0.00000136,0.00000000
1497972027,0.00000136,0.00000139,0.00000128,0.00000137,0.15330018
1498117366,0.00000137,0.00000130,0.00000130,0.00000130,0.00780000
1498262458,0.00000130,0.00000224,0.00000171,0.00000224,0.04647609
1498407681,0.00000224,0.00000224,0.00000224,0.00000224,0.00000000
1498552793,0.00000224,0.00000170,0.00000135,0.00000160,0.00045082
1498697959,0.00000160,0.00000164,0.00000131,0.00000164,0.00892351
1498843074,0.00000164,0.00000131,0.00000126,0.00000127,0.05146913
1498988232,0.00000127,0.00000127,0.00000127,0.00000127,0.00000000
1499133401,0.00000127,0.00000127,0.00000127,0.00000127,0.00000000
1499278577,0.00000127,0.00000161,0.00000160,0.00000160,0.00026526
1499423660,0.00000160,0.00000160,0.00000080,0.00000080,0.00093828
1499568810,0.00000080,0.00000460,0.00000151,0.00000349,0.33649673
1499713940,0.00000349,0.00000650,0.00000252,0.00000420,0.95661295
1499858634,0.00000420,0.00000660,0.00000423,0.00000500,0.18954295
1500004356,0.00000500,0.00000650,0.00000050,0.00000440,0.35588265
1500149516,0.00000440,0.00000800,0.00000332,0.00000527,1.93548011
1500234709,0.00000527,0.00000850,0.00000555,0.00000595,0.19884672
1500439824,0.00000595,0.00000594,0.00000432,0.00000432,0.05864639
1500584976,0.00000432,0.00000799,0.00000432,0.00000432,1.00110309
1500730128,0.00000432,0.00000432,0.00000432,0.00000432,0.00000000